path,rh_bankssts_gauscurv,rh_caudalanteriorcingulate_gauscurv,rh_caudalmiddlefrontal_gauscurv,rh_cuneus_gauscurv,rh_entorhinal_gauscurv,rh_fusiform_gauscurv,rh_inferiorparietal_gauscurv,rh_inferiortemporal_gauscurv,rh_isthmuscingulate_gauscurv,rh_lateraloccipital_gauscurv,rh_lateralorbitofrontal_gauscurv,rh_lingual_gauscurv,rh_medialorbitofrontal_gauscurv,rh_middletemporal_gauscurv,rh_parahippocampal_gauscurv,rh_paracentral_gauscurv,rh_parsopercularis_gauscurv,rh_parsorbitalis_gauscurv,rh_parstriangularis_gauscurv,rh_pericalcarine_gauscurv,rh_postcentral_gauscurv,rh_posteriorcingulate_gauscurv,rh_precentral_gauscurv,rh_precuneus_gauscurv,rh_rostralanteriorcingulate_gauscurv,rh_rostralmiddlefrontal_gauscurv,rh_superiorfrontal_gauscurv,rh_superiorparietal_gauscurv,rh_superiortemporal_gauscurv,rh_supramarginal_gauscurv,rh_frontalpole_gauscurv,rh_temporalpole_gauscurv,rh_transversetemporal_gauscurv,rh_insula_gauscurv,BrainSegVolNotVent,eTIV
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50058_MPRAGE,0.017,0.022,0.024,0.042,0.022,0.033,0.028,0.032,0.036,0.04,0.038,0.04,0.033,0.029,0.024,0.027,0.024,0.03,0.023,0.035,0.027,0.031,0.023,0.028,0.033,0.031,0.028,0.027,0.021,0.025,0.061,0.045,0.03,0.033,1234976,1360092.833
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50059_MPRAGE,0.023,0.024,0.023,0.033,0.025,0.03,0.023,0.033,0.036,0.037,0.037,0.037,0.036,0.026,0.025,0.029,0.026,0.032,0.023,0.034,0.024,0.031,0.028,0.031,0.024,0.03,0.025,0.028,0.023,0.027,0.059,0.033,0.077,0.032,1251668,1592462.464
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50060_MPRAGE,0.017,0.023,0.022,0.029,0.021,0.031,0.025,0.032,0.03,0.036,0.035,0.038,0.041,0.025,0.026,0.024,0.022,0.035,0.022,0.038,0.024,0.029,0.021,0.026,0.031,0.03,0.026,0.024,0.018,0.024,0.038,0.033,0.031,0.029,1400083,1415748.781
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50102_MPRAGE,0.023,0.031,0.031,0.051,0.048,0.038,0.035,0.04,0.036,0.046,0.047,0.051,0.037,0.033,0.031,0.037,0.04,0.046,0.037,0.04,0.036,0.035,0.036,0.036,0.044,0.047,0.041,0.041,0.038,0.037,0.049,0.063,0.041,0.04,1215245,1521734.208
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50103_MPRAGE,0.028,0.024,0.029,0.041,0.042,0.036,0.033,0.033,0.032,0.04,0.044,0.042,0.044,0.033,0.023,0.03,0.029,0.059,0.034,0.038,0.032,0.033,0.03,0.034,0.038,0.042,0.035,0.031,0.037,0.031,0.053,0.063,0.037,0.036,1213391,1549231.307
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50104_MPRAGE,0.019,0.02,0.023,0.04,0.028,0.021,0.025,0.023,0.03,0.029,0.032,0.03,0.028,0.023,0.017,0.022,0.023,0.036,0.026,0.036,0.022,0.023,0.023,0.026,0.025,0.027,0.023,0.026,0.025,0.025,0.038,0.063,0.022,0.031,1427080,1829971.449
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50105_MPRAGE,0.02,0.025,0.024,0.046,0.033,0.026,0.031,0.034,0.033,0.037,0.044,0.038,0.036,0.032,0.017,0.031,0.027,0.043,0.034,0.042,0.029,0.035,0.028,0.03,0.04,0.033,0.034,0.033,0.026,0.03,0.045,0.049,0.05,0.035,1189613,1527471.724
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50106_MPRAGE,0.021,0.025,0.027,0.037,0.039,0.028,0.03,0.034,0.027,0.041,0.039,0.041,0.03,0.03,0.042,0.026,0.021,0.032,0.025,0.039,0.026,0.028,0.032,0.032,0.04,0.029,0.033,0.032,0.029,0.027,0.055,0.079,0.076,0.031,1148137,1424967.731
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50107_MPRAGE,0.021,0.023,0.03,0.043,0.029,0.023,0.031,0.032,0.033,0.038,0.038,0.035,0.034,0.028,0.017,0.028,0.022,0.039,0.033,0.04,0.027,0.027,0.029,0.03,0.025,0.036,0.031,0.031,0.026,0.032,0.054,0.045,0.033,0.037,1353774,1737604.691
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50108_MPRAGE,0.024,0.029,0.029,0.044,0.035,0.033,0.033,0.03,0.037,0.04,0.042,0.047,0.051,0.033,0.032,0.032,0.031,0.036,0.029,0.039,0.028,0.035,0.029,0.029,0.036,0.041,0.033,0.03,0.032,0.031,0.068,0.056,0.04,0.036,1215796,1595925.84
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50109_MPRAGE,0.026,0.025,0.028,0.051,0.05,0.04,0.035,0.044,0.043,0.047,0.048,0.046,0.039,0.037,0.021,0.044,0.029,0.037,0.031,0.035,0.034,0.033,0.036,0.042,0.045,0.037,0.034,0.04,0.033,0.039,0.061,0.061,0.045,0.043,1133839,1402078.351
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50110_MPRAGE,0.031,0.03,0.042,0.064,0.061,0.036,0.061,0.049,0.038,0.071,0.054,0.051,0.065,0.043,0.026,0.053,0.039,0.06,0.043,0.066,0.047,0.031,0.046,0.048,0.06,0.051,0.051,0.066,0.038,0.044,0.064,0.088,0.046,0.045,1053286,1571178.281
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50111_MPRAGE,0.018,0.025,0.026,0.038,0.026,0.029,0.027,0.033,0.033,0.034,0.044,0.039,0.032,0.029,0.019,0.027,0.025,0.042,0.035,0.031,0.025,0.028,0.026,0.032,0.025,0.035,0.031,0.031,0.024,0.031,0.052,0.054,0.036,0.039,1253466,1504193.587
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50112_MPRAGE,0.026,0.027,0.033,0.043,0.062,0.029,0.03,0.031,0.032,0.042,0.041,0.04,0.033,0.035,0.02,0.036,0.031,0.052,0.036,0.044,0.034,0.025,0.031,0.034,0.04,0.038,0.032,0.035,0.029,0.034,0.055,0.039,0.041,0.032,1178621,1513358.802
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50113_MPRAGE,0.014,0.022,0.024,0.038,0.021,0.029,0.027,0.03,0.024,0.036,0.039,0.036,0.029,0.027,0.016,0.027,0.019,0.029,0.024,0.038,0.025,0.028,0.024,0.027,0.024,0.032,0.03,0.025,0.021,0.026,0.05,0.054,0.022,0.033,1118471,1391575.286
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50114_MPRAGE,0.023,0.024,0.028,0.041,0.038,0.039,0.031,0.037,0.028,0.04,0.043,0.044,0.046,0.034,0.023,0.038,0.03,0.042,0.027,0.038,0.028,0.032,0.03,0.033,0.043,0.041,0.041,0.033,0.027,0.031,0.074,0.056,0.048,0.032,1185453,1485368.463
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50115_MPRAGE,0.02,0.023,0.026,0.043,0.051,0.031,0.034,0.032,0.031,0.038,0.036,0.039,0.034,0.028,0.026,0.023,0.022,0.027,0.032,0.04,0.024,0.029,0.026,0.032,0.032,0.031,0.029,0.031,0.026,0.035,0.041,0.036,0.026,0.033,1073935,1323748.496
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50116_MPRAGE,0.02,0.024,0.022,0.037,0.021,0.027,0.027,0.029,0.028,0.036,0.036,0.038,0.033,0.024,0.02,0.025,0.019,0.034,0.023,0.038,0.025,0.028,0.025,0.028,0.035,0.028,0.027,0.028,0.029,0.025,0.057,0.039,0.052,0.031,1318387,1609986.191
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50117_MPRAGE,0.019,0.023,0.023,0.04,0.044,0.03,0.029,0.033,0.035,0.035,0.042,0.042,0.036,0.032,0.019,0.026,0.023,0.046,0.032,0.034,0.026,0.033,0.026,0.031,0.032,0.035,0.03,0.032,0.025,0.03,0.046,0.042,0.044,0.031,1255479,1626155.735
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50157_MPRAGE,0.019,0.018,0.026,0.042,0.051,0.032,0.028,0.032,0.026,0.036,0.034,0.038,0.031,0.025,0.027,0.024,0.022,0.037,0.031,0.037,0.024,0.026,0.023,0.026,0.024,0.036,0.03,0.026,0.02,0.029,0.09,0.037,0.032,0.026,1225471,1656513.597
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50158_MPRAGE,0.017,0.015,0.019,0.03,0.028,0.025,0.025,0.027,0.025,0.029,0.03,0.033,0.028,0.022,0.017,0.019,0.026,0.028,0.024,0.031,0.024,0.025,0.02,0.024,0.018,0.032,0.024,0.024,0.018,0.024,0.05,0.053,0.018,0.026,1089049,1317399.135
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50159_MPRAGE,0.014,0.019,0.021,0.037,0.031,0.024,0.028,0.032,0.028,0.029,0.034,0.036,0.035,0.025,0.024,0.019,0.021,0.033,0.028,0.03,0.02,0.028,0.019,0.024,0.035,0.032,0.026,0.026,0.021,0.025,0.05,0.038,0.028,0.027,1181752,1531224.984
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50160_MPRAGE,0.012,0.021,0.019,0.031,0.032,0.025,0.026,0.024,0.027,0.028,0.027,0.028,0.026,0.024,0.016,0.02,0.021,0.032,0.025,0.03,0.019,0.026,0.021,0.024,0.027,0.028,0.025,0.022,0.016,0.027,0.033,0.056,0.021,0.03,1269311,1609109.85
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50161_MPRAGE,0.016,0.024,0.018,0.027,0.038,0.025,0.019,0.026,0.024,0.029,0.03,0.03,0.029,0.02,0.017,0.019,0.024,0.034,0.023,0.034,0.018,0.019,0.019,0.022,0.031,0.028,0.025,0.019,0.018,0.021,0.047,0.051,0.026,0.03,1151653,1202315.415
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50162_MPRAGE,0.012,0.014,0.022,0.032,0.044,0.032,0.023,0.032,0.023,0.033,0.034,0.027,0.035,0.025,0.023,0.02,0.024,0.031,0.03,0.027,0.022,0.029,0.02,0.026,0.025,0.029,0.027,0.024,0.021,0.024,0.059,0.043,0.03,0.026,1125055,1322796.567
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50163_MPRAGE,0.013,0.027,0.024,0.039,0.034,0.029,0.027,0.034,0.031,0.033,0.034,0.041,0.034,0.026,0.025,0.023,0.022,0.035,0.028,0.032,0.024,0.025,0.023,0.027,0.03,0.032,0.028,0.026,0.018,0.029,0.064,0.047,0.03,0.023,1255611,1575862.212
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50164_MPRAGE,0.02,0.019,0.026,0.029,0.052,0.027,0.027,0.037,0.026,0.03,0.027,0.032,0.035,0.025,0.017,0.018,0.023,0.044,0.028,0.022,0.022,0.024,0.024,0.025,0.028,0.034,0.031,0.026,0.017,0.026,0.072,0.068,0.023,0.03,1072362,1331370.367
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50165_MPRAGE,0.014,0.024,0.018,0.036,0.028,0.027,0.024,0.032,0.03,0.035,0.029,0.035,0.037,0.028,0.017,0.017,0.024,0.035,0.022,0.036,0.021,0.025,0.02,0.025,0.033,0.032,0.028,0.022,0.019,0.022,0.053,0.041,0.017,0.024,1167541,1458079.425
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50166_MPRAGE,0.013,0.019,0.019,0.031,0.028,0.023,0.022,0.027,0.026,0.031,0.031,0.031,0.027,0.022,0.019,0.018,0.027,0.028,0.028,0.029,0.019,0.024,0.018,0.023,0.028,0.031,0.023,0.02,0.018,0.021,0.05,0.039,0.026,0.029,1137241,1463145.293
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50167_MPRAGE,0.019,0.017,0.022,0.032,0.035,0.024,0.026,0.029,0.029,0.032,0.033,0.037,0.034,0.025,0.017,0.02,0.024,0.025,0.021,0.036,0.023,0.023,0.018,0.023,0.028,0.032,0.027,0.023,0.018,0.024,0.04,0.041,0.02,0.022,1297133,1584413.66
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50168_MPRAGE,0.012,0.02,0.02,0.036,0.029,0.024,0.023,0.028,0.026,0.028,0.032,0.031,0.035,0.026,0.022,0.021,0.021,0.032,0.021,0.024,0.019,0.029,0.019,0.023,0.029,0.032,0.026,0.024,0.018,0.022,0.049,0.038,0.025,0.023,1202142,1546556.456
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50169_MPRAGE,0.017,0.026,0.022,0.036,0.048,0.033,0.029,0.028,0.029,0.031,0.037,0.036,0.043,0.031,0.018,0.034,0.023,0.032,0.03,0.039,0.025,0.031,0.027,0.026,0.029,0.036,0.032,0.028,0.025,0.028,0.069,0.065,0.029,0.028,1312977,1642603.997
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50170_MPRAGE,0.014,0.02,0.024,0.027,0.033,0.023,0.023,0.023,0.026,0.03,0.032,0.031,0.033,0.022,0.017,0.019,0.017,0.025,0.02,0.031,0.02,0.02,0.02,0.022,0.032,0.029,0.025,0.023,0.02,0.024,0.049,0.045,0.022,0.024,1363482,1685007.737
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50171_MPRAGE,0.018,0.026,0.022,0.034,0.043,0.033,0.028,0.042,0.03,0.033,0.036,0.037,0.036,0.025,0.023,0.024,0.024,0.03,0.03,0.032,0.022,0.029,0.021,0.027,0.025,0.037,0.03,0.03,0.022,0.023,0.047,0.06,0.025,0.029,1289893,1693303.315
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50193_MPRAGE,0.016,0.027,0.024,0.042,0.023,0.033,0.028,0.03,0.03,0.032,0.039,0.037,0.035,0.027,0.025,0.021,0.028,0.046,0.025,0.031,0.031,0.031,0.029,0.025,0.036,0.037,0.032,0.025,0.025,0.027,0.047,0.04,0.022,0.035,1231843,1562254.499
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50194_MPRAGE,0.019,0.033,0.032,0.04,0.048,0.034,0.032,0.03,0.032,0.038,0.031,0.043,0.035,0.033,0.026,0.021,0.031,0.046,0.034,0.041,0.036,0.026,0.03,0.031,0.037,0.039,0.031,0.03,0.027,0.033,0.049,0.054,0.033,0.037,1142595,1430323.841
/neuro/labs/grantlab/research/MRI_Predict_Age/ABIDE_I/3NIFTI_FreeSurfer/ABIDE50195_MPRAGE,0.024,0.034,0.032,0.039,0.047,0.038,0.039,0.043,0.035,0.048,0.039,0.046,0.04,0.034,0.025,0.033,0.028,0.043,0.028,0.047,0.041,0.025,0.033,0.033,0.044,0.039,0.039,0.036,0.029,0.038,0.061,0.049,0.041,0.037,1122701,1317281.686
